,Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
146,XRS 001,2017-09-08 00:00:00,RD,XRS 001,44 - 59 (7),08.09.2017,SALC-XRS1-RD,SALC-XRS1-RD,2020-06-24 20:42:04
147,XLITE 6_4,2017-09-05 00:00:00,RD,X-LITE 6_4,500 - 620 (6),05.09.2017,ROSE-XL04-RD,ROSE-XL04-RD,2020-06-24 20:42:04
148,FOIL DISC,2017-09-04 00:00:00,RD,FOIL Disc,47 - 61 (7),04.09.2017,SCOT-FOD-RD,SCOT-FOD-RDSCOT-FOD1-RD,2020-06-24 20:42:04
149,MOTIVUS MAXIMUSRIM  DISC,2017-08-16 00:00:00,RD,MOTIVUS MAXIMUSRim & Disc,48 - 60 (6),16.08.2017,VADE-MMAX-RD,VADE-MMAX-RD,2020-06-24 20:42:04
150,STRADA,2017-08-15 00:00:00,RD,FUNDI,XS - XL (5),15.08.2017,3T-STR-RD,3T-STR-RD,2020-06-24 20:42:04
151,ARIA DISC,2017-08-14 00:00:00,RD,ARIA Disc,44 - 61 (8),14.08.2017,BIAN-ARD-RD,BIAN-ARD-RD,2020-06-24 20:42:04
152,CAVALIER,2017-08-10 00:00:00,RD,CAVALIER,450 - 580 (7),10.08.2017,JOHN-CAV-RD,JOHN-CAV-RD,2020-06-24 20:42:04
153,O2 DISC,2017-07-28 00:00:00,RD,FK-05,46 - 61 (7),28.07.2017,FACT-O2D-RD,FACT-O2D-RD,2020-06-24 20:42:04
154,XLITE 6_4 DISC,2017-07-27 00:00:00,RD,X-LITE 6_4 Disc,500 - 620 (6),27.07.2017,ROSE-XL03-RD,ROSE-XL03-RD,2020-06-24 20:42:04
155,VITESSE EVO DISC,2017-07-26 00:00:00,RD,Vitesse Evo Disc,49 - 60 (6),26.07.2017,VITU-VIED-RD,VITU-VIED-RD,2020-06-24 20:42:04
156,ZX1 DISC,2017-07-26 00:00:00,RD,ZX1 Disc,49 - 60 (6),26.07.2017,VITU-ZX1D-RD,VITU-ZX1D-RD,2020-06-24 20:42:04
157,DOMINUS,2017-07-13 00:00:00,RD,DOMINUS,430 - 550 (5),13.07.2017,JORB-DOM-RD,JORB-DOM-RD,2020-06-24 20:42:04
158,MARCELLO THP,2017-07-13 00:00:00,TR,Marcello THP,490 - 565 (4),13.07.2017,RAIK-THP-TR,RAIK-THP-TR,2020-06-24 20:42:04
159,KRYPTON MY2018,2017-06-30 00:00:00,RD,KRYPTON MY2018,XXS - XL (6),30.06.2017,AR18-KR2-RD,AR18-KR2-RD,2020-06-24 20:42:04
